split,image,label,frame_source,frame_index,visible_keypoints,bbox_xyxy
train,dataset/horse_pose_yolo_core6_crop_probe/images/train/images1_frame_00000_frame_000000.jpg,dataset/horse_pose_yolo_core6_crop_probe/labels/train/images1_frame_00000_frame_000000.txt,images1_frame_00000.jpg,0,6,"[702.5808,464.35464,1201.93632,737.9035200000001]"
train,dataset/horse_pose_yolo_core6_crop_probe/images/train/images1_frame_00001_frame_000000.jpg,dataset/horse_pose_yolo_core6_crop_probe/labels/train/images1_frame_00001_frame_000000.txt,images1_frame_00001.jpg,0,6,"[707.7417599999999,469.51595999999995,1209.67776,734.03172]"
train,dataset/horse_pose_yolo_core6_crop_probe/images/train/images1_frame_00002_frame_000000.jpg,dataset/horse_pose_yolo_core6_crop_probe/labels/train/images1_frame_00002_frame_000000.txt,images1_frame_00002.jpg,0,6,"[705.16128,438.54912,1217.4192,737.9035200000001]"
train,dataset/horse_pose_yolo_core6_crop_probe/images/train/images1_frame_00005_frame_000000.jpg,dataset/horse_pose_yolo_core6_crop_probe/labels/train/images1_frame_00005_frame_000000.txt,images1_frame_00005.jpg,0,6,"[725.80608,442.4193,1261.2902399999998,736.61238]"
train,dataset/horse_pose_yolo_core6_crop_probe/images/train/images1_frame_00006_frame_000000.jpg,dataset/horse_pose_yolo_core6_crop_probe/labels/train/images1_frame_00006_frame_000000.txt,images1_frame_00006.jpg,0,6,"[740.00064,473.38721999999996,1225.1616,739.1935799999999]"
train,dataset/horse_pose_yolo_core6_crop_probe/images/train/images1_frame_00007_frame_000000.jpg,dataset/horse_pose_yolo_core6_crop_probe/labels/train/images1_frame_00007_frame_000000.txt,images1_frame_00007.jpg,0,6,"[730.9670399999998,495.32309999999995,1216.1279999999997,736.6134599999999]"
train,dataset/horse_pose_yolo_core6_crop_probe/images/train/images1_frame_00008_frame_000000.jpg,dataset/horse_pose_yolo_core6_crop_probe/labels/train/images1_frame_00008_frame_000000.txt,images1_frame_00008.jpg,0,5,"[765.8063999999999,450.16128000000003,1221.28992,741.77424]"
train,dataset/horse_pose_yolo_core6_crop_probe/images/train/images1_frame_00009_frame_000000.jpg,dataset/horse_pose_yolo_core6_crop_probe/labels/train/images1_frame_00009_frame_000000.txt,images1_frame_00009.jpg,0,6,"[585.16128,383.06412000000006,1205.8070400000001,906.9354000000001]"
train,dataset/horse_pose_yolo_core6_crop_probe/images/train/images1_frame_00010_frame_000000.jpg,dataset/horse_pose_yolo_core6_crop_probe/labels/train/images1_frame_00010_frame_000000.txt,images1_frame_00010.jpg,0,6,"[509.03135999999995,401.12928,1198.06368,883.71]"
train,dataset/horse_pose_yolo_core6_crop_probe/images/train/images1_frame_00012_frame_000000.jpg,dataset/horse_pose_yolo_core6_crop_probe/labels/train/images1_frame_00012_frame_000000.txt,images1_frame_00012.jpg,0,5,"[791.6140800000001,484.99992,1220.0006400000002,891.45144]"
train,dataset/horse_pose_yolo_core6_crop_probe/images/train/images1_frame_00015_frame_000000.jpg,dataset/horse_pose_yolo_core6_crop_probe/labels/train/images1_frame_00015_frame_000000.txt,images1_frame_00015.jpg,0,6,"[827.74176,488.8706399999999,1203.22656,919.83816]"
train,dataset/horse_pose_yolo_core6_crop_probe/images/train/images1_frame_00016_frame_000000.jpg,dataset/horse_pose_yolo_core6_crop_probe/labels/train/images1_frame_00016_frame_000000.txt,images1_frame_00016.jpg,0,6,"[820.00032,457.90325999999993,1203.22656,914.6773799999999]"
train,dataset/horse_pose_yolo_core6_crop_probe/images/train/images1_frame_00018_frame_000000.jpg,dataset/horse_pose_yolo_core6_crop_probe/labels/train/images1_frame_00018_frame_000000.txt,images1_frame_00018.jpg,0,6,"[737.42016,521.1286200000001,1231.6128,908.2254600000001]"
train,dataset/horse_pose_yolo_core6_crop_probe/images/train/images1_frame_00019_frame_000000.jpg,dataset/horse_pose_yolo_core6_crop_probe/labels/train/images1_frame_00019_frame_000000.txt,images1_frame_00019.jpg,0,6,"[820.00032,469.51649999999995,1219.99968,926.29062]"
train,dataset/horse_pose_yolo_core6_crop_probe/images/train/images1_frame_00020_frame_000000.jpg,dataset/horse_pose_yolo_core6_crop_probe/labels/train/images1_frame_00020_frame_000000.txt,images1_frame_00020.jpg,0,6,"[841.9353600000002,508.22586000000007,1208.3865600000001,936.6132600000001]"
train,dataset/horse_pose_yolo_core6_crop_probe/images/train/images1_frame_00021_frame_000000.jpg,dataset/horse_pose_yolo_core6_crop_probe/labels/train/images1_frame_00021_frame_000000.txt,images1_frame_00021.jpg,0,6,"[943.87008,488.87172,1305.16032,923.7099599999999]"
train,dataset/horse_pose_yolo_core6_crop_probe/images/train/images1_frame_00022_frame_000000.jpg,dataset/horse_pose_yolo_core6_crop_probe/labels/train/images1_frame_00022_frame_000000.txt,images1_frame_00022.jpg,0,6,"[803.2252799999999,562.41972,1300.0003199999999,899.1939600000001]"
train,dataset/horse_pose_yolo_core6_crop_probe/images/train/images1_frame_00023_frame_000000.jpg,dataset/horse_pose_yolo_core6_crop_probe/labels/train/images1_frame_00023_frame_000000.txt,images1_frame_00023.jpg,0,5,"[808.3872,546.93522,1302.57984,899.19342]"
train,dataset/horse_pose_yolo_core6_crop_probe/images/train/images1_frame_00024_frame_000000.jpg,dataset/horse_pose_yolo_core6_crop_probe/labels/train/images1_frame_00024_frame_000000.txt,images1_frame_00024.jpg,0,6,"[809.6774400000002,549.51588,1287.09696,886.2901200000001]"
train,dataset/horse_pose_yolo_core6_crop_probe/images/train/images1_frame_00025_frame_000000.jpg,dataset/horse_pose_yolo_core6_crop_probe/labels/train/images1_frame_00025_frame_000000.txt,images1_frame_00025.jpg,0,6,"[799.35552,575.32302,1287.0969599999999,941.77458]"
train,dataset/horse_pose_yolo_core6_crop_probe/images/train/images1_frame_00026_frame_000000.jpg,dataset/horse_pose_yolo_core6_crop_probe/labels/train/images1_frame_00026_frame_000000.txt,images1_frame_00026.jpg,0,6,"[801.9350399999998,565.00038,1262.5795199999998,941.7745799999999]"
train,dataset/horse_pose_yolo_core6_crop_probe/images/train/images2_frame_00000_frame_000000.jpg,dataset/horse_pose_yolo_core6_crop_probe/labels/train/images2_frame_00000_frame_000000.txt,images2_frame_00000.jpg,0,6,"[834.19296,859.194,1329.67776,970.16184]"
train,dataset/horse_pose_yolo_core6_crop_probe/images/train/images2_frame_00002_frame_000000.jpg,dataset/horse_pose_yolo_core6_crop_probe/labels/train/images2_frame_00002_frame_000000.txt,images2_frame_00002.jpg,0,6,"[746.4508800000001,842.41944,1311.61248,974.03256]"
train,dataset/horse_pose_yolo_core6_crop_probe/images/train/images2_frame_00003_frame_000000.jpg,dataset/horse_pose_yolo_core6_crop_probe/labels/train/images2_frame_00003_frame_000000.txt,images2_frame_00003.jpg,0,6,"[725.8070399999999,841.1283000000001,1309.032,963.7093800000001]"
train,dataset/horse_pose_yolo_core6_crop_probe/images/train/images2_frame_00004_frame_000000.jpg,dataset/horse_pose_yolo_core6_crop_probe/labels/train/images2_frame_00004_frame_000000.txt,images2_frame_00004.jpg,0,6,"[752.9030400000001,837.2581200000001,1303.8700800000001,966.2900400000001]"
train,dataset/horse_pose_yolo_core6_crop_probe/images/train/images2_frame_00006_frame_000000.jpg,dataset/horse_pose_yolo_core6_crop_probe/labels/train/images2_frame_00006_frame_000000.txt,images2_frame_00006.jpg,0,6,"[777.4195200000001,763.70958,1310.3232000000003,980.48394]"
train,dataset/horse_pose_yolo_core6_crop_probe/images/train/images2_frame_00007_frame_000000.jpg,dataset/horse_pose_yolo_core6_crop_probe/labels/train/images2_frame_00007_frame_000000.txt,images2_frame_00007.jpg,0,6,"[874.19328,625.64562,1163.22624,940.48398]"
train,dataset/horse_pose_yolo_core6_crop_probe/images/train/images2_frame_00008_frame_000000.jpg,dataset/horse_pose_yolo_core6_crop_probe/labels/train/images2_frame_00008_frame_000000.txt,images2_frame_00008.jpg,0,6,"[884.51616,629.5158000000001,1156.7740800000001,949.5154800000001]"
train,dataset/horse_pose_yolo_core6_crop_probe/images/train/images2_frame_00009_frame_000000.jpg,dataset/horse_pose_yolo_core6_crop_probe/labels/train/images2_frame_00009_frame_000000.txt,images2_frame_00009.jpg,0,6,"[887.09664,634.6776600000001,1161.9350399999998,948.2265]"
train,dataset/horse_pose_yolo_core6_crop_probe/images/train/images2_frame_00010_frame_000000.jpg,dataset/horse_pose_yolo_core6_crop_probe/labels/train/images2_frame_00010_frame_000000.txt,images2_frame_00010.jpg,0,6,"[883.2259200000001,633.38706,1165.8057600000002,962.41878]"
train,dataset/horse_pose_yolo_core6_crop_probe/images/train/images2_frame_00011_frame_000000.jpg,dataset/horse_pose_yolo_core6_crop_probe/labels/train/images2_frame_00011_frame_000000.txt,images2_frame_00011.jpg,0,6,"[888.3868800000001,633.38652,1165.8057600000002,945.64476]"
train,dataset/horse_pose_yolo_core6_crop_probe/images/train/images2_frame_00012_frame_000000.jpg,dataset/horse_pose_yolo_core6_crop_probe/labels/train/images2_frame_00012_frame_000000.txt,images2_frame_00012.jpg,0,5,"[894.8390400000001,659.19366,1149.03168,953.38674]"
train,dataset/horse_pose_yolo_core6_crop_probe/images/train/images2_frame_00013_frame_000000.jpg,dataset/horse_pose_yolo_core6_crop_probe/labels/train/images2_frame_00013_frame_000000.txt,images2_frame_00013.jpg,0,6,"[861.2899199999999,664.3555200000001,1142.57952,984.3552000000001]"
train,dataset/horse_pose_yolo_core6_crop_probe/images/train/images2_frame_00014_frame_000000.jpg,dataset/horse_pose_yolo_core6_crop_probe/labels/train/images2_frame_00014_frame_000000.txt,images2_frame_00014.jpg,0,6,"[865.1606400000001,660.48318,1139.9990400000002,974.0320199999999]"
train,dataset/horse_pose_yolo_core6_crop_probe/images/train/images2_frame_00015_frame_000000.jpg,dataset/horse_pose_yolo_core6_crop_probe/labels/train/images2_frame_00015_frame_000000.txt,images2_frame_00015.jpg,0,6,"[858.7094400000001,644.9997599999999,1116.7747200000001,961.1287199999999]"
