split,image,label,frame_source,frame_index,visible_keypoints,bbox_xyxy
train,dataset/horse_pose_yolo_core6_probe/images/train/images1_frame_00005_frame_000000.jpg,dataset/horse_pose_yolo_core6_probe/labels/train/images1_frame_00005_frame_000000.txt,images1_frame_00005.jpg,0,4,"[0.0,0.0,1919.0,1079.0]"
train,dataset/horse_pose_yolo_core6_probe/images/train/images1_frame_00006_frame_000000.jpg,dataset/horse_pose_yolo_core6_probe/labels/train/images1_frame_00006_frame_000000.txt,images1_frame_00006.jpg,0,4,"[312.587109375,0.0,1919.0,1079.0]"
train,dataset/horse_pose_yolo_core6_probe/images/train/images1_frame_00007_frame_000000.jpg,dataset/horse_pose_yolo_core6_probe/labels/train/images1_frame_00007_frame_000000.txt,images1_frame_00007.jpg,0,4,"[0.0,0.0,1919.0,1079.0]"
train,dataset/horse_pose_yolo_core6_probe/images/train/images1_frame_00015_frame_000000.jpg,dataset/horse_pose_yolo_core6_probe/labels/train/images1_frame_00015_frame_000000.txt,images1_frame_00015.jpg,0,5,"[134.479921875,0.0,1919.0,1079.0]"
train,dataset/horse_pose_yolo_core6_probe/images/train/images1_frame_00016_frame_000000.jpg,dataset/horse_pose_yolo_core6_probe/labels/train/images1_frame_00016_frame_000000.txt,images1_frame_00016.jpg,0,4,"[502.83796875,0.0,1919.0,1079.0]"
train,dataset/horse_pose_yolo_core6_probe/images/train/images1_frame_00020_frame_000000.jpg,dataset/horse_pose_yolo_core6_probe/labels/train/images1_frame_00020_frame_000000.txt,images1_frame_00020.jpg,0,4,"[0.0,0.0,1919.0,1079.0]"
train,dataset/horse_pose_yolo_core6_probe/images/train/images2_frame_00003_frame_000000.jpg,dataset/horse_pose_yolo_core6_probe/labels/train/images2_frame_00003_frame_000000.txt,images2_frame_00003.jpg,0,4,"[496.391328125,0.0,1722.452421875,1079.0]"
train,dataset/horse_pose_yolo_core6_probe/images/train/images2_frame_00010_frame_000000.jpg,dataset/horse_pose_yolo_core6_probe/labels/train/images2_frame_00010_frame_000000.txt,images2_frame_00010.jpg,0,4,"[0.0,0.0,1919.0,1079.0]"
train,dataset/horse_pose_yolo_core6_probe/images/train/images2_frame_00011_frame_000000.jpg,dataset/horse_pose_yolo_core6_probe/labels/train/images2_frame_00011_frame_000000.txt,images2_frame_00011.jpg,0,4,"[0.0,0.0,1919.0,1079.0]"
train,dataset/horse_pose_yolo_core6_probe/images/train/images2_frame_00013_frame_000000.jpg,dataset/horse_pose_yolo_core6_probe/labels/train/images2_frame_00013_frame_000000.txt,images2_frame_00013.jpg,0,5,"[636.56828125,0.0,1623.503984375,1079.0]"
