epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.69829,2.07661,4.33773,1.46387,0.00114,0.02,0.00011,0.0001,1.50151,3.97493,1.27953,5.555e-05,5.555e-05,5.555e-05
2,5.59375,1.70088,4.02773,1.29599,0.01011,0.18,0.14106,0.09733,1.30549,3.8117,1.09559,0.000121,0.000121,0.000121
3,7.19458,1.60709,3.74936,1.21494,0.01279,0.27,0.18537,0.13464,1.1962,3.72626,1.02576,0.00018513,0.00018513,0.00018513
4,8.7012,1.56627,3.36886,1.1943,0.00938,0.27,0.16776,0.12288,1.24897,3.75825,1.0355,0.000247941,0.000247941,0.000247941
5,10.1922,1.49539,2.96249,1.16075,0.00965,0.22,0.17826,0.13321,1.18015,3.68134,0.99909,0.000309431,0.000309431,0.000309431
6,11.7773,1.48857,2.66388,1.14862,0.01177,0.22,0.18869,0.1528,1.21959,3.60867,1.01898,0.000369602,0.000369602,0.000369602
7,13.4513,1.46181,2.48093,1.10646,0.0096,0.22,0.19518,0.14943,1.14633,3.43322,0.9828,0.000428453,0.000428453,0.000428453
8,14.967,1.33333,2.22248,1.08023,0.00922,0.22,0.19917,0.15329,1.15628,3.4128,0.97798,0.000485984,0.000485984,0.000485984
9,16.5818,1.35595,2.23156,1.08188,1,0.16596,0.199,0.16998,1.17159,3.45199,0.99196,0.000542195,0.000542195,0.000542195
10,18.1585,1.36053,2.07589,1.09723,1,0.16307,0.19718,0.15595,1.1293,3.29676,0.97505,0.000597086,0.000597086,0.000597086
11,19.7124,1.29977,1.87446,1.05446,1,0.11553,0.26883,0.19123,1.15599,3.13889,0.98607,0.000650657,0.000650657,0.000650657
12,21.4028,1.37066,1.84667,1.06363,1,0.0801,0.41416,0.27223,1.25204,2.97561,1.01627,0.000702909,0.000702909,0.000702909
13,23.0599,1.33499,1.74885,1.04414,1,0.05965,0.51546,0.33767,1.23006,2.84248,1.02536,0.00075384,0.00075384,0.00075384
14,24.6479,1.27361,1.59702,1.09281,1,0.18348,0.54945,0.35439,1.24319,2.61711,1.02802,0.000803452,0.000803452,0.000803452
