epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.2113,1.6476,3.81356,1.27934,0.01513,0.22449,0.19227,0.14782,1.22191,3.8159,1.07267,0.00032219,0.00032219,0.00032219
2,31.9946,1.45376,2.47999,1.12948,0.99408,0.13374,0.18616,0.11755,1.21794,3.30108,1.04344,0.000649001,0.000649001,0.000649001
3,46.7525,1.38263,1.78179,1.12631,0.99517,0.1649,0.47042,0.32793,1.21646,2.66589,1.0936,0.000969212,0.000969212,0.000969212
4,61.2443,1.27653,1.60918,1.10488,0.93858,0.45232,0.53701,0.3424,1.28812,1.64124,1.13521,0.001078,0.001078,0.001078
5,75.9939,1.25638,1.48438,1.10088,0.85301,0.50224,0.56306,0.35224,1.25085,1.34059,1.12634,0.001067,0.001067,0.001067
6,90.3867,1.17787,1.36233,1.05875,0.86357,0.57238,0.66286,0.43281,1.09909,1.07072,1.0438,0.00105601,0.00105601,0.00105601
7,106.77,1.13112,1.21973,1.04777,0.80508,0.67693,0.69412,0.45027,1.06211,0.95726,1.04803,0.00104501,0.00104501,0.00104501
8,122.767,1.15798,1.23166,1.07621,0.86297,0.66087,0.69991,0.45994,1.00627,0.92612,1.01129,0.00103401,0.00103401,0.00103401
9,138.056,1.09599,1.11401,1.02936,0.68208,0.78461,0.73018,0.48684,0.95218,0.8015,0.99998,0.00102301,0.00102301,0.00102301
10,149.403,1.07031,1.09103,1.01867,0.72882,0.75155,0.79401,0.50816,1.04602,0.78388,0.99926,0.00101201,0.00101201,0.00101201
11,163.916,1.04993,1.00458,1.00758,0.9321,0.7592,0.8206,0.51359,0.95538,0.75615,0.98133,0.00100101,0.00100101,0.00100101
12,180.589,1.02361,0.97119,1.00513,0.75737,0.80567,0.85941,0.54109,0.98017,0.73998,1.01248,0.000990012,0.000990012,0.000990012
13,192.116,1.04687,0.96858,1.02148,0.90745,0.83041,0.90005,0.56358,0.9597,0.69963,0.99977,0.000979013,0.000979013,0.000979013
14,205.991,1.00393,0.93842,1.00176,0.77515,0.806,0.81896,0.51581,0.99748,0.71007,1.01215,0.000968014,0.000968014,0.000968014
15,218.21,1.00577,0.90498,0.99911,0.84783,0.87225,0.87935,0.54592,0.93335,0.62373,0.99559,0.000957015,0.000957015,0.000957015
16,229.841,1.00125,0.90713,0.99674,0.80952,0.85918,0.86337,0.54484,0.95585,0.65024,0.98926,0.000946016,0.000946016,0.000946016
17,244.224,0.99151,0.86898,1.00796,0.87925,0.87281,0.91379,0.58136,0.91488,0.61329,0.97159,0.000935018,0.000935018,0.000935018
18,258.908,0.9914,0.86505,1.00127,0.78255,0.8746,0.90329,0.58193,0.9302,0.60499,0.98518,0.000924019,0.000924019,0.000924019
19,269.078,0.97476,0.84527,0.9858,0.83864,0.81726,0.88007,0.57325,0.87755,0.60945,0.9612,0.00091302,0.00091302,0.00091302
20,280.108,0.94656,0.81271,0.98721,0.83795,0.9274,0.90215,0.56534,0.91482,0.59564,0.96142,0.000902021,0.000902021,0.000902021
21,292.058,0.94712,0.78119,0.97482,0.79774,0.90609,0.89714,0.57163,0.91292,0.58082,0.98304,0.000891022,0.000891022,0.000891022
22,303.868,0.95295,0.78196,0.99561,0.89791,0.88987,0.92446,0.5866,0.89344,0.58652,0.98035,0.000880023,0.000880023,0.000880023
23,315.001,0.89617,0.73161,0.96963,0.89747,0.91045,0.90011,0.59835,0.95401,0.59093,0.98918,0.000869024,0.000869024,0.000869024
24,327.374,0.93615,0.76382,0.97506,0.89965,0.8372,0.89512,0.57221,0.93701,0.61709,0.97636,0.000858025,0.000858025,0.000858025
25,338.884,0.89992,0.73485,0.95775,0.78561,0.88243,0.84903,0.54979,0.90472,0.57395,0.96745,0.000847026,0.000847026,0.000847026
26,349.36,0.91648,0.74177,0.9629,0.83558,0.87026,0.89062,0.57264,0.88798,0.5504,0.96064,0.000836027,0.000836027,0.000836027
27,360.778,0.91018,0.72323,0.95483,0.87085,0.85585,0.87642,0.57341,0.90446,0.55186,0.961,0.000825029,0.000825029,0.000825029
28,371.437,0.87475,0.70306,0.95059,0.91359,0.87582,0.90679,0.59026,0.88864,0.54357,0.97146,0.00081403,0.00081403,0.00081403
29,381.094,0.8907,0.69832,0.95695,0.81841,0.90185,0.91012,0.59683,0.92262,0.54424,0.9663,0.000803031,0.000803031,0.000803031
30,391.89,0.88559,0.68113,0.95784,0.90541,0.92586,0.91324,0.58356,0.89224,0.53999,0.9678,0.000792032,0.000792032,0.000792032
31,404.125,0.89502,0.675,0.96149,0.89412,0.89578,0.90236,0.57633,0.87387,0.52802,0.95905,0.000781033,0.000781033,0.000781033
32,420.021,0.8813,0.66614,0.95438,0.93056,0.8491,0.90909,0.57163,0.89913,0.5516,0.96718,0.000770034,0.000770034,0.000770034
33,434.362,0.87817,0.66359,0.95672,0.88052,0.86022,0.89264,0.56148,0.88855,0.53952,0.97353,0.000759035,0.000759035,0.000759035
34,447.19,0.89669,0.6563,0.95291,0.89059,0.81056,0.87618,0.57516,0.84174,0.53376,0.95512,0.000748036,0.000748036,0.000748036
35,462.154,0.84486,0.63049,0.92903,0.91105,0.81776,0.88988,0.57469,0.92203,0.54674,0.96998,0.000737037,0.000737037,0.000737037
36,476.477,0.84314,0.63638,0.95766,0.84999,0.91075,0.90989,0.6147,0.87328,0.5178,0.96419,0.000726038,0.000726038,0.000726038
37,488.71,0.84964,0.62411,0.9398,0.86959,0.90364,0.9027,0.60985,0.84111,0.53887,0.96227,0.00071504,0.00071504,0.00071504
38,504.256,0.83476,0.61514,0.93493,0.88031,0.80648,0.89032,0.56722,0.92133,0.55224,0.98769,0.000704041,0.000704041,0.000704041
39,517.791,0.87783,0.63096,0.94959,0.80915,0.88089,0.90603,0.58862,0.87114,0.51588,0.96497,0.000693042,0.000693042,0.000693042
