epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.21837,1.9793,3.98501,1.48577,0.0024,0.19167,0.17815,0.11944,1.5534,3.81851,1.20018,0.00012221,0.00012221,0.00012221
2,14.9826,1.76297,3.26663,1.30093,0.00281,0.40606,0.21071,0.14114,1.48377,3.746,1.1448,0.000250471,0.000250471,0.000250471
3,20.3826,1.76606,2.6988,1.33884,0.00295,0.41818,0.21436,0.14234,1.50429,3.7473,1.19039,0.000373452,0.000373452,0.000373452
4,26.896,1.68196,2.2797,1.28427,0.00308,0.41818,0.26366,0.18357,1.53718,3.58763,1.15446,0.000491153,0.000491153,0.000491153
5,32.6678,1.64994,2.07606,1.23104,1,0.09101,0.38461,0.25181,1.50262,3.2817,1.13229,0.000603575,0.000603575,0.000603575
6,38.421,1.61481,1.8624,1.28977,0.99933,0.2,0.381,0.24348,1.57866,3.01291,1.19386,0.000710718,0.000710718,0.000710718
7,44.5241,1.61093,1.69604,1.22612,0.99724,0.2,0.67823,0.45162,1.48125,2.66598,1.19347,0.000812581,0.000812581,0.000812581
8,49.7736,1.58289,1.64613,1.2433,0.99824,0.2097,0.71462,0.46711,1.49056,2.48733,1.19366,0.000909165,0.000909165,0.000909165
9,55.8051,1.5999,1.59383,1.22126,0.94377,0.31667,0.77235,0.47963,1.51651,2.04964,1.21736,0.000935018,0.000935018,0.000935018
10,60.7124,1.61735,1.53515,1.2786,0.94048,0.43349,0.8025,0.49725,1.52512,1.92483,1.2469,0.00091302,0.00091302,0.00091302
11,66.1091,1.52136,1.39832,1.23124,0.93961,0.59075,0.83406,0.52483,1.43998,1.56728,1.21015,0.000891022,0.000891022,0.000891022
12,71.1954,1.52263,1.41009,1.18523,0.84265,0.62862,0.84899,0.53918,1.41292,1.44187,1.20013,0.000869024,0.000869024,0.000869024
13,77.6086,1.49109,1.2973,1.22355,0.8126,0.67778,0.87959,0.52158,1.4255,1.17167,1.21475,0.000847026,0.000847026,0.000847026
14,83.7268,1.46276,1.30214,1.20772,0.77912,0.67778,0.85016,0.55412,1.44076,1.06571,1.22723,0.000825029,0.000825029,0.000825029
15,89.013,1.45163,1.20381,1.1868,0.88146,0.79248,0.86708,0.55294,1.4034,0.98634,1.20802,0.000803031,0.000803031,0.000803031
16,93.8931,1.40892,1.18733,1.17183,0.86559,0.84295,0.88846,0.55355,1.47072,0.97651,1.22453,0.000781033,0.000781033,0.000781033
17,98.9366,1.44346,1.18826,1.18094,0.84024,0.86135,0.89943,0.5329,1.53478,1.00631,1.24191,0.000759035,0.000759035,0.000759035
18,103.818,1.43427,1.15944,1.17947,0.84384,0.84446,0.90109,0.54763,1.50878,1.02546,1.23779,0.000737037,0.000737037,0.000737037
19,108.965,1.39767,1.14419,1.14939,0.85785,0.87648,0.91603,0.56745,1.45767,0.89422,1.20397,0.00071504,0.00071504,0.00071504
20,114.609,1.35724,1.09327,1.13854,0.89432,0.8876,0.93572,0.53959,1.47776,0.8639,1.20189,0.000693042,0.000693042,0.000693042
21,119.721,1.36202,1.11832,1.16091,0.91871,0.8537,0.93343,0.55127,1.47393,0.87783,1.20185,0.000671044,0.000671044,0.000671044
22,124.593,1.36345,1.09668,1.12627,0.84201,0.88519,0.92298,0.54911,1.43309,0.84229,1.1838,0.000649046,0.000649046,0.000649046
