epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.2624,1.6476,3.81356,1.27934,0.01513,0.22449,0.19227,0.14782,1.22191,3.8159,1.07267,0.00032219,0.00032219,0.00032219
2,26.2308,1.44505,2.46688,1.12711,0.99455,0.14576,0.19698,0.1311,1.16981,3.27178,1.01823,0.000642511,0.000642511,0.000642511
3,37.6665,1.39534,1.80792,1.13506,0.98202,0.18009,0.45844,0.32262,1.19635,2.69845,1.08637,0.000949634,0.000949634,0.000949634
4,50.4841,1.28016,1.63619,1.11416,0.97964,0.40792,0.53138,0.3402,1.24241,1.8175,1.13255,0.00104501,0.00104501,0.00104501
5,61.7761,1.21434,1.46263,1.09202,0.87676,0.54847,0.59209,0.39844,1.0929,1.1461,1.05612,0.00102301,0.00102301,0.00102301
6,73.4486,1.13918,1.3212,1.04547,0.87583,0.60854,0.65824,0.44194,0.98897,1.00229,1.00669,0.00100101,0.00100101,0.00100101
7,85.7305,1.119,1.19378,1.0414,0.89342,0.64955,0.70823,0.45758,1.05958,0.96842,1.03042,0.000979013,0.000979013,0.000979013
8,97.0124,1.15176,1.21296,1.06737,0.89126,0.69602,0.7156,0.46401,1.04349,0.88603,1.00709,0.000957015,0.000957015,0.000957015
9,109.644,1.09088,1.11422,1.02603,0.91803,0.74337,0.76785,0.48255,1.06298,0.78383,1.0354,0.000935018,0.000935018,0.000935018
10,121.895,1.09488,1.08967,1.02845,0.80942,0.80016,0.84738,0.54235,1.06224,0.73219,1.01063,0.00091302,0.00091302,0.00091302
11,133.189,1.04569,0.99661,1.00063,0.90071,0.80027,0.85948,0.56361,0.92264,0.70577,0.97357,0.000891022,0.000891022,0.000891022
12,144.908,1.01899,0.95254,1.00214,0.94465,0.78419,0.87524,0.54949,0.94975,0.69994,0.98694,0.000869024,0.000869024,0.000869024
13,157.001,1.02221,0.94299,1.00436,0.8247,0.81092,0.87343,0.5415,0.9309,0.68738,0.9881,0.000847026,0.000847026,0.000847026
14,169.393,0.99636,0.94231,0.99569,0.8007,0.82822,0.835,0.53219,0.93869,0.64968,0.98402,0.000825029,0.000825029,0.000825029
15,181.281,0.99022,0.89381,0.98548,0.83499,0.88238,0.85844,0.55707,0.92264,0.63869,1.0023,0.000803031,0.000803031,0.000803031
16,193.968,0.95692,0.89334,0.97881,0.84937,0.89013,0.88379,0.57109,0.93547,0.64304,0.98936,0.000781033,0.000781033,0.000781033
17,208.085,0.98939,0.87038,1.00838,0.85756,0.88144,0.89686,0.56439,0.89498,0.59975,0.96864,0.000759035,0.000759035,0.000759035
18,222.7,0.96152,0.84776,0.98512,0.78871,0.90124,0.8647,0.5611,0.9007,0.60757,0.98315,0.000737037,0.000737037,0.000737037
19,236.02,0.9454,0.83322,0.97495,0.85723,0.85721,0.89289,0.5686,0.91591,0.59938,0.98086,0.00071504,0.00071504,0.00071504
20,248.311,0.93485,0.82024,0.97807,0.91291,0.85412,0.91702,0.57578,0.90842,0.5732,0.97785,0.000693042,0.000693042,0.000693042
21,260.381,0.92437,0.78788,0.96226,0.82843,0.91052,0.89299,0.56989,0.86958,0.56933,0.97378,0.000671044,0.000671044,0.000671044
22,272.888,0.90641,0.76489,0.97518,0.89929,0.89575,0.88315,0.55555,0.91393,0.57008,0.98636,0.000649046,0.000649046,0.000649046
23,286.242,0.87411,0.73395,0.96335,0.83492,0.91088,0.86702,0.56977,0.89808,0.55632,0.96625,0.000627048,0.000627048,0.000627048
24,304.519,0.91233,0.76044,0.96485,0.80641,0.91886,0.88538,0.57301,0.86907,0.59759,0.95354,0.000605051,0.000605051,0.000605051
25,319.075,0.88009,0.7384,0.94588,0.86916,0.86349,0.87771,0.5685,0.84111,0.57158,0.94889,0.000583053,0.000583053,0.000583053
26,332.714,0.88254,0.73099,0.9499,0.83594,0.82638,0.86234,0.56761,0.86727,0.56245,0.96157,0.000561055,0.000561055,0.000561055
27,347.06,0.87759,0.70753,0.94388,0.76395,0.88137,0.86386,0.5742,0.87819,0.56727,0.95636,0.000539057,0.000539057,0.000539057
28,365.034,0.85902,0.70212,0.94288,0.80911,0.86591,0.86898,0.58468,0.86302,0.56205,0.96785,0.000517059,0.000517059,0.000517059
29,377.772,0.87697,0.70062,0.94963,0.83843,0.85398,0.86893,0.56142,0.87347,0.55142,0.95539,0.000495062,0.000495062,0.000495062
30,391.953,0.8653,0.68987,0.94703,0.81379,0.90325,0.89628,0.57251,0.8689,0.53202,0.96627,0.000473064,0.000473064,0.000473064
31,406.991,0.84912,0.67954,0.94712,0.90493,0.8294,0.89662,0.56146,0.88803,0.54047,0.96047,0.000451066,0.000451066,0.000451066
32,421.691,0.83542,0.67615,0.94244,0.94749,0.82363,0.87821,0.55986,0.85042,0.53217,0.95132,0.000429068,0.000429068,0.000429068
33,434.708,0.83224,0.65838,0.94202,0.8868,0.80508,0.86747,0.56698,0.88589,0.52873,0.95837,0.00040707,0.00040707,0.00040707
34,449.666,0.84679,0.65234,0.93907,0.88054,0.8215,0.87516,0.57441,0.83008,0.53032,0.94683,0.000385073,0.000385073,0.000385073
35,465.183,0.82762,0.63563,0.92073,0.87845,0.84739,0.88483,0.57373,0.90752,0.5589,0.96425,0.000363075,0.000363075,0.000363075
36,479.851,0.82132,0.64625,0.95243,0.93824,0.76552,0.86019,0.57723,0.82757,0.53625,0.95446,0.000341077,0.000341077,0.000341077
37,492.81,0.81241,0.62786,0.92443,0.93729,0.76439,0.88005,0.57957,0.85129,0.5255,0.95716,0.000319079,0.000319079,0.000319079
38,507.138,0.7934,0.62041,0.92039,0.83638,0.88137,0.89238,0.57895,0.8136,0.52473,0.94971,0.000297081,0.000297081,0.000297081
39,522.529,0.80537,0.63708,0.92054,0.82885,0.88137,0.88588,0.58242,0.82447,0.52003,0.95231,0.000275084,0.000275084,0.000275084
40,538.12,0.79073,0.60971,0.91326,0.86265,0.86948,0.89416,0.5842,0.81333,0.5149,0.95006,0.000253086,0.000253086,0.000253086
41,555.548,0.7357,0.63916,0.91648,0.95334,0.81553,0.88875,0.58315,0.81704,0.52311,0.94839,0.000231088,0.000231088,0.000231088
42,571.854,0.73349,0.63517,0.91481,0.94271,0.8728,0.90954,0.60546,0.82924,0.50579,0.95229,0.00020909,0.00020909,0.00020909
43,587.741,0.71309,0.60905,0.90837,0.88188,0.90288,0.91206,0.60086,0.82146,0.49704,0.952,0.000187092,0.000187092,0.000187092
44,603.994,0.70444,0.61131,0.8969,0.94279,0.85522,0.90792,0.59474,0.79477,0.50772,0.94514,0.000165095,0.000165095,0.000165095
45,617.925,0.70544,0.59548,0.8888,0.89502,0.87808,0.90538,0.59474,0.85537,0.50834,0.96243,0.000143097,0.000143097,0.000143097
46,633.829,0.7142,0.59602,0.91296,0.94519,0.84365,0.90454,0.60706,0.7928,0.49557,0.94391,0.000121099,0.000121099,0.000121099
47,647.766,0.70035,0.60013,0.90535,0.97074,0.82093,0.90506,0.6068,0.80552,0.49877,0.946,9.91012e-05,9.91012e-05,9.91012e-05
48,663.542,0.69373,0.58628,0.89228,0.94291,0.84004,0.91057,0.60116,0.81416,0.49621,0.95303,7.71034e-05,7.71034e-05,7.71034e-05
49,677.042,0.68291,0.5806,0.87902,0.87892,0.90388,0.91366,0.61154,0.80711,0.49037,0.95011,5.51056e-05,5.51056e-05,5.51056e-05
50,690.196,0.68682,0.5755,0.89172,0.9697,0.83296,0.90597,0.60906,0.79442,0.48982,0.94408,3.31078e-05,3.31078e-05,3.31078e-05
