epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.44708,1.93294,9.12154,0.72854,2.39792,1.72007,0.84594,0.91524,0.9317,0.52885,0.11442,0.08333,0.01933,0.00293,1.39715,9.15412,0.69765,0.97989,1.24451,0.00046,0.00046,0.00046
2,15.2181,1.38937,8.67306,0.72694,1.02494,1.26482,0.95279,0.84116,0.96753,0.63771,0.08636,0.04167,0.00615,0.00129,1.39148,9.10635,0.70108,0.82922,1.27658,0.000928368,0.000928368,0.000928368
3,20.6302,1.48387,7.46116,0.71779,1.02197,1.32298,0.80763,0.95833,0.95805,0.55938,0.06839,0.04167,0.00577,0.00082,1.54794,8.3532,0.72053,0.92819,1.55215,0.00138485,0.00138485,0.00138485
4,26.3246,1.44616,8.01422,0.72394,1.00321,1.33101,0.69778,0.9621,0.92351,0.54787,0.12858,0.08333,0.01709,0.00484,1.31351,8.05388,0.75183,1.27518,1.32532,0.00182946,0.00182946,0.00182946
5,31.8407,1.37905,7.8875,0.70026,0.94286,1.26754,0.84798,0.95833,0.97129,0.58665,0.07116,0.125,0.03252,0.00409,1.285,8.19791,0.69701,1.4263,1.26871,0.001901,0.001901,0.001901
6,38.2082,1.59693,7.97736,0.69498,1.08915,1.45209,0.90909,0.95833,0.98107,0.65895,0.05643,0.125,0.00866,0.00182,1.12507,8.28394,0.72002,1.65631,1.14314,0.00187625,0.00187625,0.00187625
7,43.0207,1.46005,7.58914,0.70159,0.90624,1.26991,0.98849,0.91667,0.98238,0.67775,0.06031,0.08333,0.01176,0.00246,1.1496,7.91004,0.72137,0.90784,1.16397,0.0018515,0.0018515,0.0018515
8,47.2864,1.36218,7.80606,0.70516,0.94646,1.22755,0.97718,0.91667,0.98349,0.65816,0.0949,0.16667,0.03938,0.01414,1.21757,7.79612,0.73609,0.8447,1.18197,0.00182675,0.00182675,0.00182675
9,52.561,1.24803,6.83569,0.70616,0.83919,1.20669,0.98945,1,0.995,0.68063,0.11661,0.16667,0.02,0.00412,1.15921,7.64501,0.72191,0.89194,1.20384,0.001802,0.001802,0.001802
10,57.8123,1.29677,7.22212,0.70026,0.87115,1.20799,1,0.95229,0.9934,0.65802,0.09888,0.16667,0.04608,0.01296,1.09122,7.33568,0.71465,0.94065,1.16278,0.00177725,0.00177725,0.00177725
11,62.503,1.18264,7.41253,0.67623,0.75692,1.19525,0.99294,0.95833,0.99056,0.69177,0.13709,0.16667,0.04068,0.00666,1.05464,7.79325,0.70071,0.76029,1.10735,0.0017525,0.0017525,0.0017525
12,66.9638,1.14347,7.12255,0.68091,0.70888,1.14399,0.99462,0.91667,0.98885,0.72923,0.06467,0.125,0.0089,0.00238,1.02903,7.45718,0.70167,0.78213,1.10541,0.00172775,0.00172775,0.00172775
13,73.0184,1.10406,7.14555,0.67272,0.73651,1.1635,0.95787,0.94767,0.98762,0.69158,0.08962,0.125,0.01318,0.0027,1.04945,7.5077,0.68739,0.78933,1.14151,0.001703,0.001703,0.001703
14,78.9168,1.12019,6.80775,0.66723,0.7158,1.13758,1,0.95251,0.9934,0.74071,0.14829,0.08333,0.04533,0.00899,0.96406,7.40563,0.68083,0.68812,1.07144,0.00167825,0.00167825,0.00167825
15,84.5328,1.09392,6.66388,0.66644,0.713,1.12207,0.99466,1,0.995,0.72342,0.20226,0.20833,0.11157,0.03914,0.95268,7.31633,0.66796,0.70325,1.06359,0.0016535,0.0016535,0.0016535
16,90.0173,0.96576,6.29465,0.64318,0.66653,1.05519,0.99987,1,0.995,0.72493,0.15541,0.16667,0.09943,0.0437,0.97823,7.41433,0.64819,0.71573,1.06898,0.00162875,0.00162875,0.00162875
17,94.5633,0.99292,6.94613,0.64728,0.64969,1.07632,0.97599,1,0.995,0.78001,0.19932,0.20833,0.0472,0.01449,0.9042,7.4768,0.61986,0.61846,1.04891,0.001604,0.001604,0.001604
18,99.2653,1.03053,7.16997,0.6382,0.73074,1.10435,0.997,1,0.995,0.76346,0.2456,0.25,0.06125,0.01364,1.03017,7.24151,0.63542,0.66586,1.12376,0.00157925,0.00157925,0.00157925
19,103.924,1.04259,6.27246,0.62276,0.72424,1.11401,0.99519,1,0.995,0.70265,0.20727,0.20833,0.059,0.01301,1.14991,7.13285,0.62054,0.60907,1.19372,0.0015545,0.0015545,0.0015545
20,108.64,0.97402,6.59944,0.64172,0.6385,1.09305,0.99671,1,0.995,0.69204,0.17132,0.18127,0.08296,0.01969,1.06266,7.2081,0.5985,0.57188,1.1362,0.00152975,0.00152975,0.00152975
