epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.54459,1.84757,6.67961,0.7399,2.15811,1.63375,0.95564,0.89804,0.95666,0.62296,0.29483,0.29167,0.11469,0.01357,1.36084,6.48857,0.68333,0.81837,1.21479,0.00046,0.00046,0.00046
2,14.85,1.38664,5.52506,0.71772,0.96243,1.27066,0.91574,1,0.98317,0.60483,0.19413,0.20833,0.05089,0.00676,1.15867,5.91369,0.66605,0.82286,1.10308,0.000928368,0.000928368,0.000928368
3,22.1874,1.59128,5.11697,0.76164,1.04225,1.37316,0.77633,0.86797,0.93216,0.59868,0.8592,0.58333,0.57504,0.16648,1.31468,4.7212,0.69845,1.24347,1.21802,0.00138485,0.00138485,0.00138485
4,28.5815,1.33321,5.00126,0.72229,0.957,1.2304,0.81647,0.95833,0.94369,0.59769,0.5454,0.625,0.45855,0.1441,1.21768,4.53025,0.69863,0.9539,1.21418,0.00182946,0.00182946,0.00182946
5,34.5427,1.27661,4.87722,0.71269,0.91996,1.14782,0.91332,0.91667,0.98175,0.63785,0.66574,0.66667,0.57694,0.17032,1.26901,3.97039,0.71523,1.3554,1.2496,0.001901,0.001901,0.001901
6,39.9027,1.56991,4.52729,0.71095,1.03619,1.44403,0.74177,0.95751,0.89384,0.57746,0.50986,0.70833,0.46159,0.19862,1.3632,3.9026,0.74176,1.30639,1.429,0.00187625,0.00187625,0.00187625
7,45.3043,1.31909,4.3344,0.70275,0.92922,1.24606,0.95707,0.92932,0.98889,0.66248,0.70358,0.66667,0.56924,0.20654,1.19802,3.62115,0.70977,1.09716,1.25587,0.0018515,0.0018515,0.0018515
8,50.9118,1.24898,3.58559,0.68659,0.91404,1.23504,0.9845,0.875,0.98278,0.66941,0.57909,0.70833,0.55733,0.18387,1.18555,3.84401,0.67259,1.12533,1.25903,0.00182675,0.00182675,0.00182675
9,56.4726,1.30022,3.85181,0.66657,0.88077,1.21259,0.88805,0.99186,0.97687,0.63544,0.76266,0.83333,0.78311,0.42622,1.18595,3.3004,0.61355,0.74874,1.17341,0.001802,0.001802,0.001802
10,62.8566,1.2187,3.60294,0.67088,0.83826,1.22037,0.92233,0.98989,0.98395,0.69305,0.76888,0.6935,0.71124,0.41756,1.1077,3.31376,0.57924,0.7041,1.14871,0.00177725,0.00177725,0.00177725
11,67.8835,1.21102,3.55858,0.6579,0.79342,1.22476,0.87737,1,0.97475,0.68054,0.73042,0.83333,0.75387,0.32246,1.12986,3.11625,0.55791,0.8488,1.1404,0.0017525,0.0017525,0.0017525
12,72.8363,1.20539,3.53281,0.62988,0.78257,1.15843,0.94671,1,0.9802,0.68992,0.75861,0.75,0.75154,0.34045,1.06021,2.87914,0.56403,0.83604,1.1152,0.00172775,0.00172775,0.00172775
13,77.853,1.1389,3.45822,0.6271,0.77811,1.1262,0.99157,1,0.995,0.74949,0.82466,0.78414,0.76808,0.45475,0.98506,2.59609,0.54087,0.71092,1.05886,0.001703,0.001703,0.001703
14,83.6197,1.12769,3.29364,0.63811,0.77251,1.15499,0.99241,1,0.995,0.76488,0.90905,0.91667,0.86208,0.54202,0.9145,2.30423,0.54637,0.64749,1.03557,0.00167825,0.00167825,0.00167825
15,89.0486,1.05988,2.79598,0.60891,0.70481,1.11906,0.9966,1,0.995,0.71683,0.91347,0.91667,0.88894,0.48052,0.91719,2.22017,0.52937,0.57338,1.03309,0.0016535,0.0016535,0.0016535
16,94.5973,1.08407,3.0496,0.61004,0.70782,1.09509,0.99412,1,0.995,0.73228,0.91051,0.91667,0.87833,0.5712,0.93466,1.99518,0.51228,0.65642,1.03927,0.00162875,0.00162875,0.00162875
17,99.7425,1.07821,2.47376,0.61862,0.73175,1.11387,0.99447,1,0.995,0.72278,0.95304,0.95833,0.94125,0.54557,0.9077,2.0201,0.47683,0.61945,1.03665,0.001604,0.001604,0.001604
18,104.683,0.99772,2.31036,0.60275,0.69695,1.08905,0.99576,1,0.995,0.67838,0.91278,0.91667,0.90214,0.55395,1.0149,1.87688,0.4583,0.61735,1.09512,0.00157925,0.00157925,0.00157925
19,110.237,1.021,2.63687,0.55745,0.68448,1.09663,0.99686,1,0.995,0.73642,0.87219,0.875,0.7774,0.51727,0.93721,1.88223,0.42642,0.57448,1.06062,0.0015545,0.0015545,0.0015545
20,115.906,0.97608,2.31304,0.54955,0.61174,1.06596,0.99588,1,0.995,0.76103,0.8714,0.875,0.78125,0.53396,0.96668,1.80254,0.41859,0.57312,1.08947,0.00152975,0.00152975,0.00152975
21,121.347,1.02548,2.68468,0.57381,0.65166,1.11982,0.99128,1,0.995,0.73401,0.94976,0.95833,0.93792,0.62785,1.00525,1.72051,0.39021,0.57069,1.14082,0.001505,0.001505,0.001505
22,127.93,1.0079,2.56991,0.53808,0.62061,1.06163,0.99046,1,0.995,0.74825,0.94898,0.95833,0.93083,0.63177,0.98963,1.67079,0.3786,0.55819,1.13721,0.00148025,0.00148025,0.00148025
23,133.211,0.98527,2.30351,0.53912,0.61401,1.09177,0.99546,1,0.995,0.72668,0.91242,0.91667,0.89417,0.62189,1.02259,1.78588,0.36914,0.56165,1.13083,0.0014555,0.0014555,0.0014555
24,138.557,0.96415,2.09632,0.53868,0.63182,1.06744,0.99556,1,0.995,0.73523,0.91621,0.91667,0.90657,0.63772,1.00445,1.64812,0.34747,0.60719,1.11769,0.00143075,0.00143075,0.00143075
25,143.613,0.92193,2.08703,0.53255,0.62582,1.05078,0.99639,1,0.995,0.75608,0.95487,0.95833,0.94833,0.68893,0.92868,1.55788,0.33183,0.58254,1.10443,0.001406,0.001406,0.001406
26,148.563,0.87067,2.21914,0.49799,0.58417,1.00351,0.99299,1,0.995,0.77293,0.95144,0.95833,0.94625,0.6916,0.86085,1.56313,0.32886,0.59936,1.05738,0.00138125,0.00138125,0.00138125
27,153.725,0.93368,2.26991,0.53736,0.58792,1.05677,0.99615,1,0.995,0.75633,0.91314,0.91667,0.91939,0.59476,0.87791,1.59478,0.30945,0.5578,1.04872,0.0013565,0.0013565,0.0013565
28,158.718,0.8934,2.16256,0.50795,0.58933,1.03262,0.99733,1,0.995,0.74441,0.91422,0.91667,0.90405,0.62515,0.90607,1.5208,0.3039,0.55943,1.07033,0.00133175,0.00133175,0.00133175
29,163.84,0.89222,2.05794,0.50205,0.5732,1.04674,0.99713,1,0.995,0.73112,0.87964,0.91365,0.89111,0.64822,0.8931,1.51907,0.30113,0.4989,1.06919,0.001307,0.001307,0.001307
30,168.991,0.86941,1.8563,0.47693,0.56828,1.01446,0.99691,1,0.995,0.73341,0.91977,0.95552,0.9336,0.67346,0.8986,1.4431,0.29579,0.50686,1.06793,0.00128225,0.00128225,0.00128225
31,174.315,0.83361,2.06287,0.43525,0.55223,1.00316,0.98988,1,0.995,0.73822,0.94836,0.95833,0.93417,0.62034,0.95998,1.41205,0.29513,0.5319,1.07956,0.0012575,0.0012575,0.0012575
32,179.687,0.94551,1.85359,0.50775,0.59531,1.09084,0.99515,1,0.995,0.75364,0.95358,0.95833,0.93583,0.64684,0.85339,1.38991,0.291,0.49029,1.03156,0.00123275,0.00123275,0.00123275
33,185.484,0.85196,1.76691,0.50208,0.57506,1.01179,0.99702,1,0.995,0.76687,0.95548,0.95833,0.94833,0.71272,0.85395,1.42971,0.2792,0.51755,1.01373,0.001208,0.001208,0.001208
34,191.931,0.82095,1.76169,0.43448,0.53664,0.98837,0.99622,1,0.995,0.77374,0.95462,0.95833,0.94833,0.72509,0.92544,1.3549,0.27107,0.51624,1.0422,0.00118325,0.00118325,0.00118325
35,197.339,0.84782,1.92038,0.47272,0.53936,1.01571,0.99597,1,0.995,0.78546,0.95447,0.95833,0.94833,0.73244,0.86869,1.38498,0.25056,0.45961,1.03999,0.0011585,0.0011585,0.0011585
36,202.855,0.85412,1.89079,0.48163,0.54565,1.02849,0.99573,1,0.995,0.75974,0.95416,0.95833,0.95,0.73302,0.86262,1.37414,0.23685,0.47219,1.04183,0.00113375,0.00113375,0.00113375
