epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.2777,0.98045,6.44272,0.61131,0.61591,1.06246,0.99182,1,0.995,0.76552,0.16435,0.20498,0.07857,0.03098,0.91594,7.33264,0.62826,0.61878,1.07691,0.00046,0.00046,0.00046
2,9.92272,1.00683,6.9526,0.63251,0.65015,1.09377,0.99618,1,0.995,0.75522,0.19905,0.20714,0.11356,0.04979,0.93661,7.02786,0.60696,0.58927,1.06381,0.000916735,0.000916735,0.000916735
3,14.5827,1.1201,6.05835,0.63939,0.71254,1.17069,0.92168,0.9811,0.98537,0.6712,0.17077,0.20833,0.0414,0.01207,1.18851,7.31606,0.55956,1.05573,1.2117,0.00134971,0.00134971,0.00134971
4,18.9624,1.05393,6.71776,0.62841,0.70899,1.10837,0.98431,1,0.995,0.66985,0.13042,0.125,0.02026,0.00935,1.16923,7.29101,0.56586,0.79883,1.23764,0.00175893,0.00175893,0.00175893
5,23.2303,1.04711,6.71821,0.6114,0.71834,1.08742,0.98566,1,0.995,0.72322,0.19383,0.125,0.03676,0.00657,1.06599,7.03149,0.56864,0.65847,1.16525,0.001802,0.001802,0.001802
6,27.4828,1.24442,6.66135,0.64539,0.89354,1.25126,0.9959,0.91667,0.97923,0.72151,0.13648,0.16667,0.0343,0.01079,1.07042,7.21918,0.57012,0.86206,1.17976,0.0017525,0.0017525,0.0017525
7,32.0343,1.11699,6.64391,0.61817,0.71902,1.10429,0.8393,0.87065,0.92739,0.66573,0.13568,0.20833,0.04682,0.01598,1.02072,7.01649,0.55838,0.95461,1.14962,0.001703,0.001703,0.001703
8,36.4082,1.09647,6.97929,0.62999,0.76317,1.1369,0.91376,0.88325,0.96875,0.6684,0.12159,0.20833,0.0449,0.01388,1.09878,7.03298,0.54825,0.97373,1.20426,0.0016535,0.0016535,0.0016535
9,40.6851,1.08501,5.96238,0.61199,0.68201,1.13425,0.98581,1,0.995,0.69459,0.21802,0.25,0.06917,0.01089,1.03575,7.03535,0.54739,0.71816,1.17475,0.001604,0.001604,0.001604
10,44.8672,1.13793,6.5761,0.62507,0.74138,1.16816,0.95711,1,0.995,0.69504,0.17469,0.16667,0.04966,0.00815,1.06728,7.24182,0.55806,0.66568,1.17647,0.0015545,0.0015545,0.0015545
11,49.109,1.06566,6.54681,0.61143,0.71125,1.12979,1,0.98685,0.995,0.74668,0.19922,0.20833,0.04514,0.01526,0.93906,6.77587,0.55237,0.60226,1.107,0.001505,0.001505,0.001505
12,53.3206,0.99688,6.38729,0.59912,0.65564,1.07494,1,0.98744,0.995,0.74817,0.1996,0.20833,0.04389,0.01652,0.89838,6.75304,0.54653,0.66947,1.06464,0.0014555,0.0014555,0.0014555
13,57.646,1.02823,6.40613,0.62137,0.70405,1.12711,0.9961,1,0.995,0.72627,0.20657,0.20833,0.04271,0.01878,1.07261,6.64069,0.53133,0.62225,1.16822,0.001406,0.001406,0.001406
14,61.9392,0.95654,6.20339,0.62535,0.66087,1.08707,0.99581,1,0.995,0.72887,0.20727,0.20833,0.04271,0.01964,1.05905,6.54405,0.52071,0.60774,1.1611,0.0013565,0.0013565,0.0013565
15,66.455,1.02936,6.09893,0.60592,0.66323,1.12456,0.99597,1,0.995,0.76858,0.24895,0.25,0.09667,0.03717,0.88813,6.85837,0.51657,0.53817,1.04733,0.001307,0.001307,0.001307
16,70.9952,0.93276,5.6443,0.59034,0.6075,1.04823,0.99627,1,0.995,0.76849,0.20741,0.20833,0.11,0.04733,0.90373,6.90115,0.52492,0.53913,1.04519,0.0012575,0.0012575,0.0012575
17,75.5772,0.88173,6.48396,0.59648,0.59723,1.04936,0.99643,1,0.995,0.72811,0.20693,0.20833,0.11167,0.03925,0.99056,6.85761,0.52458,0.5597,1.08793,0.001208,0.001208,0.001208
18,79.9164,0.94945,6.51676,0.59228,0.60976,1.10007,0.9952,1,0.995,0.72822,0.2033,0.20833,0.05983,0.01922,0.9745,6.82464,0.52208,0.54636,1.09801,0.0011585,0.0011585,0.0011585
19,84.118,0.95789,5.86185,0.57332,0.64924,1.09182,0.99608,1,0.995,0.77846,0.20672,0.20833,0.04271,0.01671,0.87329,6.75687,0.51895,0.50212,1.07657,0.001109,0.001109,0.001109
20,88.2847,0.8925,6.12309,0.59424,0.56055,1.07062,0.99746,1,0.995,0.781,0.16594,0.16667,0.04654,0.02077,0.83031,6.85768,0.52143,0.49924,1.06637,0.0010595,0.0010595,0.0010595
21,92.5251,0.91661,5.95055,0.58297,0.57929,1.06814,0.99907,1,0.995,0.7613,0.13416,0.125,0.10001,0.05001,0.88761,7.03152,0.52224,0.50635,1.08079,0.00101,0.00101,0.00101
22,96.9856,0.84274,6.04119,0.57304,0.53716,1.00164,0.99698,1,0.995,0.7533,0.13487,0.20833,0.10276,0.04362,0.91953,6.88406,0.51363,0.5598,1.08831,0.0009605,0.0009605,0.0009605
