epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,2.82516,2.12683,6.86069,3.17127,2.30627,0,0.00333,1,0.7346,0.24241,0.0025,0.75,0.13319,0.04605,1.34079,4.99042,2.88958,1.74919,0,0.0001,0.0001,0.0001
2,4.64178,1.46375,4.71902,3.03694,1.77,0,0.00333,1,0.82031,0.56241,0.00333,1,0.82311,0.47053,0.67737,2.43396,2.62317,1.20024,0,0.000217278,0.000217278,0.000217278
3,6.64161,0.63501,1.44179,2.3737,1.05598,0,0.00333,1,0.995,0.91102,0.00333,1,0.995,0.72854,0.32616,1.78891,2.53007,0.95417,0,0.000331585,0.000331585,0.000331585
4,8.70044,0.51362,1.03794,1.92586,0.96518,0,0.00333,1,0.995,0.87987,0.00333,1,0.995,0.86972,0.38249,1.09268,2.51588,0.96566,0,0.000442923,0.000442923,0.000442923
5,10.6846,0.6292,1.03643,1.71045,0.9963,0,0.00333,1,0.995,0.89725,0.00333,1,0.995,0.79123,0.40108,1.70795,2.52318,1.02437,0,0.00055129,0.00055129,0.00055129
6,12.5906,0.61461,0.89567,1.44395,0.98708,0,0.00333,1,0.995,0.87175,0.00333,1,0.995,0.82947,0.44231,1.18545,2.54471,1.03652,0,0.000656688,0.000656688,0.000656688
7,14.5209,0.61534,0.99863,1.2822,0.95322,0,0.00333,1,0.97577,0.85367,0.00333,1,0.97577,0.87146,0.47782,0.98443,2.54339,1.07101,0,0.000759115,0.000759115,0.000759115
8,16.4539,0.63665,0.93669,1.17805,1.02059,0,0.00333,1,0.995,0.67374,0.00333,1,0.995,0.78337,0.82473,1.41756,2.5579,1.25584,0,0.000858572,0.000858572,0.000858572
9,18.3219,0.69094,0.92113,1.09207,1.01665,0,0.00333,1,0.995,0.64337,0.00333,1,0.995,0.70043,0.76091,2.31253,2.42439,1.22382,0,0.00095506,0.00095506,0.00095506
10,20.2099,0.65293,0.99986,1.05519,1.01579,0,1,0.74015,0.995,0.85215,1,0.74015,0.995,0.84821,0.61842,1.30169,2.05073,1.12802,0,0.00104858,0.00104858,0.00104858
11,22.0914,0.59765,0.75201,0.99723,0.95521,0,1,0.94754,0.995,0.89656,1,0.94754,0.995,0.92514,0.4977,0.76974,1.96848,1.03446,0,0.00113912,0.00113912,0.00113912
12,23.9255,0.56998,0.71081,0.94947,0.91013,0,0.96741,1,0.995,0.89644,0.96741,1,0.995,0.89117,0.45325,0.71562,1.63788,1.00644,0,0.0012267,0.0012267,0.0012267
13,25.9858,0.60994,0.81131,0.94291,0.96212,0,0.97949,1,0.995,0.90896,0.97949,1,0.995,0.87923,0.5474,0.9103,1.70101,1.09238,0,0.00131131,0.00131131,0.00131131
14,27.8518,0.5829,0.77108,0.92112,0.95856,0,1,0.89739,0.995,0.8697,1,0.89739,0.995,0.84561,0.59467,1.39688,1.87655,1.11228,0,0.00139295,0.00139295,0.00139295
15,29.6711,0.5758,0.70567,0.91038,0.92915,0,1,0.89739,0.995,0.8697,1,0.89739,0.995,0.84561,0.59467,1.39688,1.87655,1.11228,0,0.00147161,0.00147161,0.00147161
16,31.6207,0.46151,0.6585,0.88976,0.88737,0,1,0.98447,0.995,0.91625,1,0.98447,0.995,0.93667,0.38545,0.66412,1.61661,0.97665,0,0.00154731,0.00154731,0.00154731
17,33.5273,0.48244,0.62932,0.84195,0.8866,0,0.98988,1,0.995,0.89644,0.98988,1,0.995,0.9504,0.5063,0.4376,1.27086,1.04042,0,0.001604,0.001604,0.001604
18,35.4419,0.52985,0.61775,0.94032,0.9383,0,0.99992,1,0.995,0.8875,0.99992,1,0.995,0.95945,0.47081,0.45399,1.65572,1.00357,0,0.00157925,0.00157925,0.00157925
19,37.3878,0.48979,0.50047,0.82945,0.91664,0,0.99992,1,0.995,0.8875,0.99992,1,0.995,0.95945,0.47081,0.45399,1.65572,1.00357,0,0.0015545,0.0015545,0.0015545
20,39.2001,0.5772,0.74054,0.83236,0.94905,0,0.99589,1,0.995,0.88058,0.99589,1,0.995,0.94267,0.5127,0.49688,1.02199,1.04861,0,0.00152975,0.00152975,0.00152975
21,41.1535,0.53916,0.75802,0.85119,0.94987,0,0.99587,1,0.995,0.9665,0.99587,1,0.995,0.96917,0.38595,0.55381,0.91714,0.9713,0,0.001505,0.001505,0.001505
22,43.371,0.53819,0.79628,0.78326,0.93604,0,0.99572,1,0.995,0.90828,0.99572,1,0.995,0.98633,0.44872,0.49796,0.85276,0.99282,0,0.00148025,0.00148025,0.00148025
23,45.3247,0.45183,0.55289,0.75338,0.87238,0,0.99572,1,0.995,0.90828,0.99572,1,0.995,0.98633,0.44872,0.49796,0.85276,0.99282,0,0.0014555,0.0014555,0.0014555
24,47.4963,0.44252,0.58944,0.74882,0.8856,0,0.99566,1,0.995,0.97445,0.99566,1,0.995,0.9684,0.31562,0.49162,0.8298,0.94025,0,0.00143075,0.00143075,0.00143075
