epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,13.9822,1.00347,2.86059,2.3758,1.36747,0,0.00328,1,0.97371,0.88145,0.00328,1,0.97371,0.62644,0.39062,2.89502,2.49225,0.97116,0,0.00058,0.00058,0.00058
2,29.4917,0.61661,0.92301,1.16786,0.97079,0,1,0.70181,0.99083,0.90351,1,0.70181,0.99083,0.89531,0.4192,0.79164,2.15678,0.96668,0,0.0011654,0.0011654,0.0011654
3,45.6643,0.57883,0.82314,0.95585,0.96084,0,0.98166,1,0.97983,0.85727,0.98166,1,0.97983,0.86811,0.57762,0.85707,1.29667,1.04929,0,0.00173595,0.00173595,0.00173595
4,60.9806,0.50581,0.61916,0.92815,0.921,0,0.97925,1,0.98067,0.84417,0.97925,1,0.98067,0.92417,0.43038,0.67741,1.33087,0.98029,0,0.00192575,0.00192575,0.00192575
5,74.3509,0.49906,0.54658,0.79945,0.91862,0,0.98246,1,0.9895,0.9236,0.98246,1,0.9895,0.98362,0.39194,0.40925,0.77505,0.95715,0,0.001901,0.001901,0.001901
6,87.6638,0.50055,0.54627,0.73398,0.93133,0,0.9821,1,0.981,0.86915,0.9821,1,0.981,0.97867,0.50102,0.33819,0.82049,1.0123,0,0.00187625,0.00187625,0.00187625
7,99.4162,0.42496,0.44399,0.62528,0.89082,0,0.98206,1,0.97983,0.9268,0.98206,1,0.97983,0.97651,0.33824,0.31402,0.55385,0.92758,0,0.0018515,0.0018515,0.0018515
8,111.798,0.42878,0.48888,0.60181,0.89385,0,0.98235,1,0.98317,0.92034,0.98235,1,0.98317,0.98145,0.33531,0.33237,0.48937,0.94126,0,0.00182675,0.00182675,0.00182675
9,126.176,0.39264,0.42653,0.54917,0.87095,0,0.98247,1,0.98383,0.9287,0.98247,1,0.98383,0.98283,0.36202,0.30685,0.44865,0.95437,0,0.001802,0.001802,0.001802
10,138.634,0.4025,0.41984,0.53185,0.88601,0,0.9824,1,0.9835,0.96061,0.9824,1,0.9835,0.98245,0.32542,0.29137,0.43179,0.93148,0,0.00177725,0.00177725,0.00177725
